"Parameter_ID","Parameter_Name","Value"
"MARGIN_001","Margin_NetProfit","0.1875"
"MARGIN_002","Margin_RiskPremium","0.0975"
"MARGIN_003","Margin_Reinvestment","0.0866"
"RATE_001","Rate_Dev_Junior","1500000.0"
"RATE_002","Rate_Dev_Senior","3000000.0"
"RATE_003","Rate_PM","3650000.0"
"RATE_004","Rate_BA","2300000.0"
"RATE_005","Location_Onsite_Multiplier","1.3"
"COMM_001","Comm_Partner_Max","0.105"
"COMM_002","Discount_Full_Payment","0.05"
"HW_001","Server_Base_Infra_Cost","800000.0"
"HW_002","Server_Cost_Per_100_Users","400000.0"
"HW_003","Storage_Cost_Per_GB","550.0"
"HW_004","SMS_OTP_Rate","800.0"
"RISK_001","Risk_Data_Cleansing_Default","0.1866"
"RISK_002","Risk_Integration_Default","0.1221"
"RISK_003","Risk_Tech_Literacy_Default","0.0654"
"LIC_001","Renew_Maintenance_Rate","0.1212"
"LIC_002","Reuse_Factor_Default","0.2955"
"STRAT_001","K_Strategy_Enterprise_Logo","0.87"
"STRAT_002","K_Strategy_Rush_Factor","1.5"
"STRAT_003","K_Strategy_SMB_Default","1.0"
