Module_ID,Category,Module_Name,Base_ManDays,Is_Core_Competency,Customization_Markup,Keywords
MOD_IAM_01,IAM,Đăng nhập bằng Email và Mật khẩu,5,TRUE,1.2,"đăng nhập, login, email, mật khẩu, tài khoản, xác thực, password"
MOD_IAM_02,IAM,Đăng nhập SSO qua Google và Facebook,8,TRUE,1.2,"đăng nhập google, login facebook, SSO, social login, tài khoản google, đăng nhập mạng xã hội"
MOD_IAM_03,IAM,Phân quyền vai trò người dùng (RBAC),12,TRUE,1.3,"phân quyền, vai trò, quyền hạn, RBAC, nhóm quyền, quản lý user, permission"
MOD_IAM_04,IAM,Xác thực hai yếu tố OTP,7,TRUE,1.2,"OTP, xác thực 2 bước, 2FA, mã xác nhận, bảo mật tài khoản, SMS OTP, mã OTP"
MOD_IAM_05,IAM,Quản lý phiên đăng nhập và thiết bị,10,TRUE,1.3,"thiết bị đăng nhập, session, đăng xuất từ xa, quản lý thiết bị, lịch sử đăng nhập, bảo mật"
MOD_COM_01,Commerce,Quản lý danh mục và sản phẩm,15,TRUE,1.2,"sản phẩm, danh mục, catalog, SKU, thêm sản phẩm, quản lý hàng hóa, product"
MOD_COM_02,Commerce,Giỏ hàng và Quy trình thanh toán,12,TRUE,1.2,"giỏ hàng, checkout, đặt hàng, mua hàng, thanh toán, cart, order"
MOD_COM_03,Commerce,Hệ thống quản lý đơn hàng (OMS),20,TRUE,1.2,"đơn hàng, OMS, xử lý đơn, trạng thái đơn, quản lý order, fulfillment, đơn bán"
MOD_COM_04,Commerce,Chương trình khuyến mãi và Voucher,18,TRUE,1.3,"khuyến mãi, voucher, mã giảm giá, coupon, flash sale, discount, promotion"
MOD_COM_05,Commerce,Đánh giá và Bình luận sản phẩm,8,TRUE,1.2,"đánh giá, review, bình luận, comment, rating, phản hồi khách hàng, feedback"
MOD_COM_06,Commerce,Tìm kiếm và Lọc sản phẩm nâng cao,14,TRUE,1.3,"tìm kiếm, search, lọc sản phẩm, filter, full-text search, tìm theo thuộc tính, elastic search"
MOD_COM_07,Commerce,Livestream bán hàng tích hợp,42,FALSE,2.5,"livestream, live bán hàng, stream bán hàng, live shopping, phát trực tiếp, live TikTok, live Facebook"
MOD_WMS_01,WMS,Quản lý tồn kho cơ bản,15,TRUE,1.2,"tồn kho, kho hàng, inventory, số lượng hàng, quản lý kho, stock, tồn"
MOD_WMS_02,WMS,Nhập xuất kho và Kiểm kê định kỳ,18,TRUE,1.2,"nhập kho, xuất kho, kiểm kê, phiếu nhập, phiếu xuất, kiểm hàng, stocktake"
MOD_WMS_03,WMS,Đồng bộ tồn kho đa kho hàng,35,TRUE,1.4,"đa kho, multi-warehouse, đồng bộ kho, nhiều kho, chuyển kho, sync kho, kho phân tán"
MOD_WMS_04,WMS,Cảnh báo tồn kho thấp và Đề xuất đặt hàng tự động,20,TRUE,1.3,"cảnh báo tồn kho, hàng sắp hết, reorder point, đặt hàng tự động, low stock, tồn kho tối thiểu"
MOD_WMS_05,WMS,Quản lý lô hàng và Hạn sử dụng (Batch/Expiry),25,TRUE,1.4,"lô hàng, hạn sử dụng, batch, expiry date, FIFO, FEFO, hàng hóa có hạn"
MOD_WMS_06,WMS,Theo dõi hàng hóa bằng IoT và Barcode Scanner,45,FALSE,2.5,"IoT kho, barcode scanner, quét mã vạch, RFID, theo dõi hàng thời gian thực, smart warehouse, QR code kho"
MOD_FIN_01,Finance,Quản lý công nợ Thu chi,20,TRUE,1.3,"công nợ, thu chi, phải thu, phải trả, dòng tiền, cashflow, công nợ khách hàng"
MOD_FIN_02,Finance,Xuất hóa đơn điện tử (e-Invoice),15,TRUE,1.3,"hóa đơn điện tử, e-invoice, xuất hóa đơn, VAT, HĐĐT, hóa đơn đỏ, hóa đơn GTGT"
MOD_FIN_03,Finance,Báo cáo doanh thu và Lợi nhuận,18,TRUE,1.2,"doanh thu, lợi nhuận, báo cáo tài chính, P&L, revenue report, profit, tổng kết doanh thu"
MOD_FIN_04,Finance,Tích hợp cổng thanh toán VNPay,10,TRUE,1.2,"VNPay, thanh toán VNPay, VNPay QR, cổng thanh toán, payment gateway, quét QR VNPay"
